covariate,action,mean_diff,pct_significant_pointwise,pct_significant_simultaneous,p_raw,p_adjusted,significant_fdr,n_samples,n_episodes
hcp_total,Dbl,-0.4473179804426626,0.97,0.92,0.009900990099009901,0.009900990099009901,True,44607,9310
hcp_total,1C,4.246750766872886,1.0,0.98,0.009900990099009901,0.009900990099009901,True,15643,9133
hcp_total,1D,3.2727244786593737,1.0,0.98,0.009900990099009901,0.009900990099009901,True,18431,9156
hcp_total,1H,-0.570593707953874,1.0,0.98,0.009900990099009901,0.009900990099009901,True,21740,9173
hcp_total,1S,-1.0953044871792612,0.99,0.97,0.009900990099009901,0.009900990099009901,True,25028,9107
hcp_total,1NT,-0.9471886601640728,0.87,0.74,0.009900990099009901,0.009900990099009901,True,30155,9130
hcp_total,2C,-1.275143952915149,0.97,0.7,0.009900990099009901,0.009900990099009901,True,34569,9140
controls_total,Dbl,-0.5449440731552988,0.96,0.93,0.009900990099009901,0.009900990099009901,True,46622,9358
controls_total,1C,4.155515413370529,0.99,0.97,0.009900990099009901,0.009900990099009901,True,16605,9327
controls_total,1D,4.16587877192692,0.98,0.97,0.009900990099009901,0.009900990099009901,True,18963,9137
controls_total,1H,-0.07425358520248106,0.97,0.95,0.009900990099009901,0.009900990099009901,True,22432,9169
controls_total,1S,-0.809433103932634,0.98,0.93,0.009900990099009901,0.009900990099009901,True,26420,9186
controls_total,1NT,-0.48664490457250165,0.96,0.85,0.009900990099009901,0.009900990099009901,True,31828,9206
controls_total,2C,-1.0311003353053694,0.96,0.9,0.009900990099009901,0.009900990099009901,True,36499,9232
ltc,Dbl,-0.4328293704701815,0.88,0.6,0.009900990099009901,0.009900990099009901,True,46192,9369
ltc,1C,5.466316415806566,0.98,0.97,0.009900990099009901,0.009900990099009901,True,15974,9143
ltc,1D,4.19277804275648,0.97,0.95,0.009900990099009901,0.009900990099009901,True,18851,9161
ltc,1H,-0.11735312712109117,0.98,0.96,0.009900990099009901,0.009900990099009901,True,22259,9185
ltc,1S,-0.869763685221195,0.97,0.95,0.009900990099009901,0.009900990099009901,True,26187,9211
ltc,1NT,-0.5844066872800986,0.97,0.93,0.009900990099009901,0.009900990099009901,True,31463,9238
ltc,2C,-0.9886264779880795,0.97,0.95,0.009900990099009901,0.009900990099009901,True,36025,9238
quick_tricks,Dbl,-0.28435762163165884,0.97,0.91,0.009900990099009901,0.009900990099009901,True,47634,9370
quick_tricks,1C,4.2946832577088765,0.99,0.96,0.009900990099009901,0.009900990099009901,True,16311,9204
quick_tricks,1D,3.2699797754117372,0.99,0.96,0.009900990099009901,0.009900990099009901,True,19292,9224
quick_tricks,1H,-0.49803732775744336,0.98,0.92,0.009900990099009901,0.009900990099009901,True,22807,9237
quick_tricks,1S,-1.0798821872395081,0.97,0.93,0.009900990099009901,0.009900990099009901,True,26837,9246
quick_tricks,1NT,-0.9495050781319095,0.84,0.71,0.009900990099009901,0.009900990099009901,True,32312,9257
quick_tricks,2C,-1.0815728239810205,0.98,0.91,0.009900990099009901,0.009900990099009901,True,37020,9260
n_contracts_bid,Dbl,-1.11609098898891,0.99,0.97,0.009900990099009901,0.009900990099009901,True,46465,9391
n_contracts_bid,1C,5.094737266194748,1.0,1.0,0.009900990099009901,0.009900990099009901,True,16902,9438
n_contracts_bid,1D,3.9203366677239466,1.0,1.0,0.009900990099009901,0.009900990099009901,True,19919,9438
n_contracts_bid,1H,-0.18316474047325038,0.79,0.54,0.009900990099009901,0.009900990099009901,True,22948,9438
n_contracts_bid,1S,-1.2571563926850176,1.0,1.0,0.009900990099009901,0.009900990099009901,True,27391,9438
n_contracts_bid,1NT,-0.49094085682205396,1.0,1.0,0.009900990099009901,0.009900990099009901,True,32046,9438
n_contracts_bid,2C,-1.0651341048193799,1.0,1.0,0.009900990099009901,0.009900990099009901,True,37512,9438
