feature,high_jsd_mean,all_mean,all_std,effect_size
auction_level,1.0428,2.20608,1.5860868,-0.73342776
n_contracts_bid,1.4044,2.63958,2.0472414,-0.6033387
is_passout,0.3878,0.16902,0.37476957,0.58377206
has_contract,0.6122,0.83098,0.37476957,-0.583772
contract_strain,0.7904,1.5999,1.698976,-0.47646344
lho_opened,0.0376,0.19885,0.3991349,-0.40399876
rho_opened,0.1022,0.2508,0.43347356,-0.34281218
is_competitive,0.1832,0.33666,0.47256747,-0.32473668
self_opened,0.2334,0.16967,0.37534264,0.16979153
we_vulnerable,0.4218,0.49674,0.4999894,-0.14988323
favorable_vul,0.311,0.25,0.4330127,0.14087345
unfavorable_vul,0.203,0.24924,0.43257305,-0.106895246
n_passed_before_opening,0.6428,0.73401,0.88382083,-0.10319966
is_doubled,0.1,0.07526,0.26381043,0.093779474
double_status,0.1018,0.07712,0.27366492,0.090183295
n_suits_with_honors,2.694,2.76382,0.8532403,-0.081829146
n_honors_in_long_suits,2.2564,2.35422,1.2783458,-0.076520614
is_balanced,0.504,0.46614,0.4988522,0.07589424
shortest_suit,1.7294,1.67866,0.7286156,0.06963892
ltc,7.6712,7.56048,1.6214198,0.06828564
partner_opened,0.239,0.21166,0.40848508,0.06693022
both_vulnerable,0.2188,0.2475,0.43155965,-0.066502996
n_singletons,0.298,0.33058,0.49773172,-0.06545693
they_vulnerable,0.5298,0.4975,0.4999937,0.0646008
len_diamond,3.1684,3.25227,1.3776828,-0.060877535
hcp_diamond,2.3458,2.47994,2.3204865,-0.05780685
n_queens,0.951,0.99707,0.8379626,-0.05497863
len_spade,3.318,3.24595,1.3701162,0.05258685
longest_suit,4.8594,4.90209,0.83165115,-0.051331952
n_kings,0.9502,0.99307,0.8368644,-0.051226918
n_jacks,0.9596,0.99988,0.84627414,-0.04759692
has_ak_in_any_suit,0.2382,0.2212,0.41505492,0.040958412
n_aces,1.019,0.98473,0.8456339,0.04052587
none_vulnerable,0.2672,0.25326,0.4348785,0.032054946
n_voids,0.0478,0.0545,0.22752966,-0.029446699
hcp_total,9.7882,9.91215,4.219492,-0.029375575
quick_tricks,1.7959,1.771305,1.1471121,0.021440817
len_heart,3.2752,3.24671,1.3719782,0.020765511
controls_club,0.76,0.74229,0.9627334,0.01839551
controls_diamond,0.7262,0.74059,0.95864296,-0.015010794
controls_total,2.9882,2.96253,1.844404,0.013917803
controls_heart,0.7536,0.7407,0.9608869,0.013425092
len_club,3.2384,3.25507,1.3759831,-0.012114966
hcp_spade,2.4486,2.47315,2.3322861,-0.0105261365
controls_spade,0.7484,0.73895,0.96020985,0.009841556
hcp_heart,2.4982,2.4765,2.325293,0.009332117
hcp_club,2.4956,2.48256,2.328681,0.0055997646
is_redoubled,0.0018,0.00186,0.043087587,-0.0013925119
